artist|song
Cut Copy|Corner Of The Sky
Cut Copy|Hanging Onto Every Heartbeat
Cut Copy|Need You Now
Cut Copy|Pharaohs & Pyramids
Cut Copy|This Is All We've Got
Cut Off Your Hands|Fooling No One
Dads|Life, Oh Life
Daily Meds|Everybody Get Pumped
Damn Dogs|Very First Century
Damn Dogs|Love
Dan Mangan|Post-War Blues
Dananananakroyd|Muscle Memory
Dane Certificate|Lion
Dangerous!|Movers N Shakers
Dangerous!|Not One Of You
Daniel Lee Kendall|Hold Me Now
Daniele Luppi/Danger Mouse|Black {Ft. Norah Jones}
Daniele Luppi/Danger Mouse|Two Against One {Ft. Jack White}
Danika Smith|Oh Father
Datarock|Catcher In The Rye
Deadmau5|Sofi Needs A Ladder
Death Cab For Cutie|You Are A Tourist
Death Cab For Cutie|Codes And Keys
Decemberists, The|This Is Why We Fight
Deep Sea Arcade|Girls
Def Wish Cast|Dun Proppa
Delta Riggs, The|Counter Revolution
Designer Drugs|Through The Prism
Diafrix|Simple Man {Ft. Daniel Merriweather}
Dialect & Despair|Prolific
Dialectrix|Buy Me A Pony {Like A Version}
Digitalism|2 Hearts
Digitalism|Circles
DJ Shadow|I Gotta Rokk
Do, The|Gonna Be Sick!
Dodos, The|Black Night
Does It Offend You Yeah?|Pull Out My Insides
Does It Offend You Yeah?|The Monkeys Are Coming
Dom|Jesus
Domeyko/Gonzalez|Sunshower
Douster/Savage Skulls|Bad Gal {Ft. Robyn}
Dr Don Don|Never Fear {Ft. Elizabeth Rose}
Drake|Headlines
Drapht|Air Guitar
Drapht|Bali Party {Ft. Nfa}
Drapht|Down
Drapht|People Don't Know
Drapht|R.I.P J.R
Drapht|Sing It (The Life Of Riley)
Drapht|The Paul The Dan {Ft. Trials}
Drapht|We Own The Night {Ft. Mantra & Urthboy}
Drapht|Won't Listen When
Dream On, Dreamers|To The Lost {Ft. Matthew Wright}
Dream On, Dreamers|Downfall
Drums, The|How It Ended
Drums, The|Money
Dry The River|No Rest
Dry The River|New Ceremony
Duke Spirit, The|Surrender
Dum Dum Girls|Always Looking
Dum Dum Girls|He Gets Me High
Dune Rats|Pogo
Eagle & The Worm|Good Times
Ed Sheeran|You Need Me, I Don't Need You
Elbow|Lippy Kids
Elbow|Neat Little Rows
Elbow|The Birds
Elbow|With Love
Elizabeth Rose|Stars Ago {Rufus Remix}
Ellesquire|On The Prowl
Ellesquire|Chasing The Pay
EMA|California
Emma Louise|Jungle
Emma Russack|He Was My Family
Emperors|Plastic Gun
Enola Fall|I Am An Aerial
Eskimo Joe|Love Is A Drug
Eskimo Joe|Somebody That I Used To Know {Like A Version}
Eskimo Joe|When We Were Kids
Eugene McGuinness|Lion
Evil Eddie|(Somebody Say) Evil
Example|Boulevarde Of Broken Dreams {Like A Version}
Example|Changed The Way You Kiss Me
Example|Stay Awake
Example/Skream|Shot Yourself In The Foot Again
Expatriate|Miracle Mile
Fair To Midland|Musical Chairs
Faker|Dangerous
Faker|Hearts To Break
Fantine|Eleven
Fearless Vampire Killers, The|For You & Me
Fearless Vampire Killers, The|Tell Me What You're Trying To Say
Feist|A Commotion
Feist|Graveyard
Feist|How Come You Never Go There
Feist|The Bad In Each Other
Feist|The Circle Married The Line
Felicity Groom|An Ache
Felicity Groom|Building A House
Felicity Groom|John Edmund Shea
Felicity Groom|New Years
Felicity Groom|Paper Strings
Felicity Groom|Siren Song
Felicity Groom|Trophy Talk
Field Music|(I Keep Thinking About) A New Thing
Field, The|Looping State Of Mind
Fire! Santa Rosa, Fire!|Panther Shrine
First Aid Kit|The Lion's Roar
Fitz And The Tantrums|Moneygrabber
Fleet Foxes|Battery Kinzie
Fleet Foxes|Bedouin Dress
Fleet Foxes|Lorelai
Fleet Foxes|Montezuma
Fleet Foxes|Sim Sala Bim
Flight Facilities|Foreign Language
Floatingme|Spirals
Floatingme|Breaking To Breathe
Florence & The Machine|All This And Heaven Too
Florence & The Machine|Breaking Down
Florence & The Machine|Lover To Lover
Florence & The Machine|Never Let Me Go
Florence & The Machine|No Light, No Light 
Florence & The Machine|Only If For A Night
Florence & The Machine|Shake It Out
Florence & The Machine|Spectrum
Florence & The Machine|What The Water Gave Me
Flume|Possum
Flume|Sleepless {Ft. Anthony For Cleopatra}
Foo Fighters|Arlandria
Foo Fighters|Back & Forth
Foo Fighters|Bridge Burning
Foo Fighters|Dear Rosemary
Foo Fighters|I Should Have Known
Foo Fighters|Rope
Foo Fighters|White Limo
Ford & Lopatin|Emergency Room
Foster The People|Call It What You Want
Foster The People|Don't Stop
Foster The People|Helena Beat
Foster The People|Houdini
Foster The People|I Would Do Anything For You
Foster The People|Life On The Nickel
Foster The People|Warrant
Foster The People|Waste
Four Tet|Locked
Frank Ocean|Swim Good
Frank Turner|Peggy Sang The Blues
French Horn Rebellion|Up All Night
French Horn Rebellion|This Moment
Frenzal Rhomb|Knuckleheads
Frenzal Rhomb|Bird Attack
Frenzal Rhomb|When My Baby Smiles At Me I Go To Rehab
Friendly Fires|Blue Cassette
Friendly Fires|Hawaiian Air
Friendly Fires|Hurting
Friendly Fires|Live Those Days Tonight
Friendly Fires|Pala
Friendly Fires|Pull Me Back To Earth
Friendly Fires|Running Away
Friendly Fires|Show Me Lights
Friends|I'm His Girl
Frowning Clouds, The|All Night Long
Fucked Up|Queen Of Hearts
Fucked Up|The Other Shoe
Fucked Up|Ship Of Fools
Full Tote Odds|Southern Wind
Funeral For A Friend|Sixteen
Funkoars|It's All Good (is Very Good)
Funkoars|Where I Am
Gallows|Mondo Chaos
Ganglians|Drop The Act
Gaslight Anthem, The|Sitting Waiting Wishing {Like A Version}
Gemma Ray|Runaway
Geoffrey O'Connor|Whatever Leads Me To You
Georgia Fair|Where You Been?
Getaway Plan, The|The Reckoning
Getaway Plan, The|Flying Colours
Getaway Plan, The|Phantoms
Ghostface Killah|Ghetto {Ft. Raekwon/Cappadonna/U- God}
Ghostwood|Cutlass
Ghoul|Lodum (Rising)
Girls|Honey Bunny
Givers|Meantime
Givers|Up Up Up
Glass Towers|Gloom
Glasvegas|Euphoria, Take My Hand
Glasvegas|The World Is Yours
Gold Fields|Moves
Gold Fields|The Woods
Gomez|Options
Gossling|Dance The Way I Feel {Like A Version}
Gossling|I Was Young
Gotye|Don't Worry, We'll Be Watching You
Gotye|Easy Way Out
Gotye|Giving Me A Chance
Gotye|I Feel Better
Gotye|In Your Light
Gotye|Save Me
Gotye|Smoke And Mirrors
Gotye|Somebody That I Used To Know {Ft. Kimbra}
Gotye|State Of The Art
Grates, The|Borrowed Skin
Grates, The|Crying All Night
Grates, The|Like You Could Have It All
Grates, The|Please Leave {Like A Version}
Grates, The|Sweet Dreams
Grates, The|The Night Won't Start Without Us
Grates, The|Turn Me On
Grates, The|Welcome To The Middle
Grates, The|Young Pricks
Graveyard Train|Dead Folk Dance
Greenthief|Vultures
Grey Ghost|Space Ambassador
Grimes|Vanessa
Grouplove|Betty's A Bombshell
Grouplove|Chloe
Grouplove|Close Your Eyes And Count To Ten
Grouplove|Itchin' On A Photograph
Grouplove|Naked Kids
Grouplove|Spun
Grouplove|Tongue Tied
Guerre|See The Birds
Guillemots|The Basket
Guineafowl|In Our Circles
Guineafowl|The Lie Is
Guineafowl – Little Fingers
Gung Ho|Twin Rays
Guppies, The|Never Liked Mondays
Gypsy & The Cat|Parallel Universe
Hanni El Khatib|Dead Wrong
Harpoons, The|Keep You Around
Herd, The|A Thousand Lives
Herd, The|Clash And Collide
Herd, The|Market Forces
Herd, The|Shihaba
Herd, The|Signs Of Life
Herd, The|Spin Cycle
Herd, The|The Sum Of It All
Hermitude|Speak Of The Devil
Herve|Together
Hey Geronimo|Why Don't We Do Something?
Hey Rosetta|Yer Spring
Hilltop Hoods|I Love It {Ft. Sia}
Hodgy Beats & Jonti|Nagoya
Holidays, The|Wolf Like Me {Like A Version}
Holy Ghost!|Wait & See
Honey Pies, The|My O My O Me O My
Horrible Crowes|Beyond The Hurricane
Horrors , The|I Can See Through You
Horrors, The|Still Life
Horrorshow|Did You Hear
Housse De Racket|Roman
Howl At The Moon|Janet Leigh
Howler|I Told You Once
Howling Bells|Into The Sky
Hunting Grounds|In Colour
Husky|Dark Sea
Husky|Fake Moustache
Husky|History's Door
Husky|Hundred Dollar Suit
Husky|Hunter
Husky|The Woods
Husky|Tidal Wave
Hyro Da Hero|Ghetto Ambulance
I Break Horses|Hearts
I, A Man|Sometimes
Iceage|Broken Bone
Illy|Cigarettes
Imaginary Cities|Say You
Intermashional First Class|All I Know {Ft. Eagle And The Worm/Hypnotic Brass Ensemble/Juiceboxxx}
J Mascis|Where Are You
J Mascis|Not Enough
Jack Ladder & The Dreamlanders|Cold Feet
Jackson McLaren|A Whole Day Nearer
Jagwar Ma|Come And Save Me
James Blake|Limit To Your Love
James Blake|Lindisfarne
James Blake|The Wilhelm Scream
James Blake & Bon Iver|Fall Creek Boys Choir
Jamie Woon|Street
Jamie Woon|Lady Luck
Jane's Addiction|End To The Lies
Jane's Addiction|Irresistible Force
Jim Jones|Believe In Magic {Ft. Lloyd & Girl Talk}
Jim Ward|Broken Songs {Electric Version}
Jinja Safari|Mermaids
Jinja Safari|Sunken House
Joakim|Forever Young
Joe Goddard|Gabriel
Joelistics|Days
Joelistics|Glorious Feeling
Jonti|Hornets Nest
Jonti|Nightshift In Blue
Jordan F|Definitely Miami
Josh Pyke|No One Wants A Lover
Josh Pyke|The World Is A Picture
Joshy Willo|Moon As A Mirror
Juan Alban|A Death In The Family
Julia Stone|Catastrophe!
Jungle Giants, The|Mr Polite
Junica|Living In My House {Ft. Pip Brown}
Junior Boys|Banana Ripple
Junior Boys|ep
Justice|Audio, Video, Disco
Justice|Brianvision
Justice|Civilization
Justice|Horsepower
Justice|New Lands
Justice|Ohio
Justice|On'n'on
Justice|Parade
Kahn|Illy
Kaiser Chiefs|Little Shocks
Kasabian|Goodbye Kiss
Kasabian|I Hear Voices
Kasabian|La Fee Verte
Kasabian|Let's Roll Just Like We Used To
Kasabian|Switchblade Smiles
Kasabian|Velociraptor!
Kaskade & Skrillex|Lick It
Katalyst|Ready To Drop {Ft. KweenG}
Katalyst|The Clapping Song {Ft. Coin Locker Kid}
Kate Nash|Let's Hear It For The Boy {Like A Version}
Kate Vigo|Wanna Run
Katy B|Lights On
Katy B|Broken Record
Kavinsky|Nightcall {Ft. Lovefoxxx}
Kele|What Did I Do? {Ft. Lucy Taylor}
Kevin Devine|Between The Concrete And Clouds
Kids At Risk|Doing The Best That We Can
Kikuyu|Infodome
Kanye West|Murder To Excellence
Kanye West|New Day
Kanye West – Niggas in Paris
Kanye West|No Church In The Wild {Ft. Frank Jay-Z & Ocean}
Kanye West|Otis {Ft. Otis Redding}
Kanye West|That's My Bitch
Kanye West|Welcome To The Jungle
Kanye West|Why I Love You {Ft. Mr Hudson & The
Jebediah|To Your Door
Jebediah|Under Your Bed
Jeff The Brotherhood|Mellow Out
Jezabels, The|City Girl
Jezabels, The|Deep Wide Ocean
Jezabels, The|Endless Summer
Jezabels, The|Horsehead
Jezabels, The|Long Highway
Jezabels, The|Rosebud
Jezabels, The|Trycolour
Kill City Creeps|I Got A Letter
Kills, The|Future Starts Slow
Kills, The|One Silver Dollar {Like A Version}
Kills, The|Satellite
Kills, The|Baby Says
Kimbra|Cameo Lover
Kimbra|Good Intent
Kimbra|Limbo
Kimbra|Old Flame
Kimbra|Plain Gold Ring
Kimbra|Two Way Street
Kimbra|Withdraw
King Cannons|Stand Right Up
King Cannons|Take The Rock
King Cannons|Shot To Kill
King Cannons|Teenage Dreams
Knightlife|Serves You Right
Kobra Kai|Rollerball
Kooks, The|Is It Me
Kooks, The|Junk Of The Heart (Happy)
Kurt Vile|Jesus Fever
Ladytron|White Elephant
Lana Del Rey|Video Games
Lana Del Rey|Blue Jeans
Lanie Lane|Ain't Hungry
Lanie Lane|Oh Well That's What You Get Falling In Love With A Cowboy
Lanu|Beautiful Trash {Ft. Megan Washington}
Last Dinosaurs|Time & Place
Last Dinosaurs|Zoom
Laura Marling|The Beast
Laura Marling|Salinas
Laura Marling|I Was Just A Card
Laurels, The|Black Cathedral
Leader Cheetah|Dark Stands Over
Leader Cheetah|Losing My Religion {Like A Version}
Les Savy Fav|Appetites
Les Savy Fav|Lips N' Stuff
LHA|Sun Is Shinin'
Lisa Mitchell|The Ship Song {Straight To You: triple j's tribute To Nick Cave}
Little Barrie|Surf Hell
Little Dragon|Little Man
Little Dragon|Ritual Union
Little Red|All Mine
Little Scout|We Are Walking Out
Little Stevies|Feel It
Living End, The|Away From The City
Living End, The|For Another Day
Living End, The|Heatwave
Living End, The|In The Morning
Living End, The|Machine Gun
Living End, The|Ride The Wave Boy
Living End, The|Song For The Lonely
Lo-Fi-Fnk|Last Summer
Loon Lake|Bad To Me
Loon Lake|In The Summer
Los Campesinos|Songs About Your Girlfriend
Lotek|Rock It {Like A Version}
Love Migrate|Little Kid
Low Budget|Hard Act To Follow
Luke Million|Arnold
Lupe Fiasco|All Black Everything
Lupe Fiasco|Till I Get There
Lupe Fiasco|Words I Never Said {Ft. Skylar Grey}
Lykke Li|I Follow Rivers
Lykke Li|Jerome
Lykke Li|Love Out Of Lust
Lykke Li|Rich Kids Blues
Lykke Li|Sadness Is A Blessing
Lykke Li|Unchained Melody {Like A Version}
Lykke Li|Unrequited Love
Lykke Li|Youth Knows No Pain
M83|Midnight City
M83|Intro {Ft. Zola Jesus}
M83|Reunion
M83|OK Pal
Magic Silver White|Over Under
Magnetic Man|Anthemic {Ft. P Money}
Major Lazer|Original Don {Ft. The Partysquad}
Manchester Orchestra|April Fool
Mantra|Got Me Wrong {Ft. Parvyn Kaur Singh}
Mantra|Voodoo Music
Mariachi El Bronx|48 Roses
Mark Ronson & The Business Intl.|Solitude Is Bliss {Like A Version}
Martin Solveig|Ready 2 Go {Ft. Kele}
Mastodon|Black Tongue
Metronomy|The Look
Microwave Jenny|Stuck On The Moon
Middle East, The|As I Go To See Janey
Middle East, The|Black Death 1349
Middle East, The|Dan's Silverleaf
Middle East, The|Hunger Song
Middle East, The|Land Of The Bloody Unknown
Middle East, The|Months
Middle East, The|Ninth Ave Reverie
Mike Noga|M'Belle
Miles Kane|Come Closer
Miles Kane|Inhaler
Millions|Guru
Millions|Those Girls
Mission In Motion, The|Control
Mitzi|All I Heard
Modeselektor|Pretentious Friends {Ft. Busdriver}
Money For Rope|I've Had Days
Montpelier|China Shop
Mr Little Jeans|The Suburbs
Mr Oizo|Douche Beat
Muscles|Koala
Muscles|I'll Follow You
Muscles & Bertie Blackman|Do You Love Me? {Straight To You: triple j's tribute To Nick Cave}
Mutemath|All Or Nothing
Mutemath|Allies
Mutemath|Blood Pressure
Mutemath|Odd Soul
Mutemath|One More
Mutemath|Prytania
Mutemath|Tell Your Heart Heads Up
Nantes|Fly
Nas|Nasty
Nero|Doomsday
Nero|Fugue State
Nero|Guilt
Nero|In The Way
Nero|Innocence
Nero|Me & You
Nero|Promises
New Found Glory|Radiosurgery
New Navy|Tapioca
New Navy|Zimbabwe
Nicholas Roy|One By One
Noah And The Whale|L.I.F.E.G.O.E.S.O.N
Oh Mercy|Confessions
Oh Mercy|Mercy Valley
Oh Mercy|On The Run
Oh Mercy|Stay, Please Stay
Oh Mercy|Tenderness
Oh Mercy|What You Do
Oh Ye Denver Birds|I Believe In Love, Kid
Oscar & Martin|My Blood
Oscar & Martin|Do The Right Thing
Other Lives|For 12
Owl Eyes|Pumped Up Kicks {Like A Version}
Owl Eyes|Raiders
Pagen Elypsis|One Way Ticket
Pajama Club|These Are Conditions
Pajama Club|From A Friend To A Friend
Panda Band, The|The Fix
Panda Band, The|Spill
Panics, The|Creatures
Panics, The|Endless Road
Panics, The|Low On Your Supply
Panics, The|Majesty
Panics, The|Move On
Panics, The|Not Quite A Home
Panics, The|One Way Street
Panics, The|Shot Down
Panics, The|Walk That Mile Alone
Papa Vs Pretty|Charity Case
Papa Vs Pretty|Conquistador
Papa Vs Pretty|Darkest Way
Papa Vs Pretty|Honey
Papa Vs Pretty|Life's Got A Hold On Me
Papa Vs Pretty|Look For Me
Papa Vs Pretty|One Of The Animals
Paper Kites|Willow Tree March
Paper Scissors, The|Lung Sum
Parades|Water Stories
Patrick Wolf|The City
Paul Dempsey|Daniel {Like A Version}
Pharoahe Monch|Clap (One Day)
Phatchance|Build It Up {Ft. Charlie Mayfair}
Phaze One|So Many {Ft. Illy & Dion Primo}
Phrase|Apart {Ft. Davey Lane}
Phrase|Babylon
Phrase|Tighten Up {Like A Version}
Pigeon John|Ben Vereen
Pigeon John|Buttersoft Seats
Pigeon John|Excuse Me
Pigeon John|Hey You
Pigeon John|Last Nite {Like A Version}
Pigeon John|The Bomb
PJ Harvey|The Words That Maketh Murder
PJ Harvey|Written On The Forehead
Plan B|Runaway {Like A Version}
Planet Love Sound|On The Run
Pluto Jonze|Plastic Bag In A Hurricane
Pluto Jonze|Meet You Under Neon
Pnau|Better Way
Pnau|Epic Fail
Pnau|Everybody
Pnau|Glimpse
Pnau|Solid Ground
Pnau|The Truth
Pnau|Twist Of Fate
Pnau|Unite Us
Poolside|Do You Believe?
Portishead|Chase The Tear
Pulled Apart By Horses|V.E.N.O.M.
Radiohead|Bloom
Radiohead|Codex
Radiohead|Feral
Radiohead|Give Up The Ghost
Radiohead|Little By Little
Radiohead|Lotus Flower
Radiohead|Morning Mr Magpie
Radiohead|Separator
Raized By Wolves|The Call {Ft. Tom Smith}
Rapture, The|Blue Bird
Rapture, The|How Deep Is Your Love
Rapture, The|Miss You
Rapture, The|Never Die Again
Rapture, The|Sail Away
Rat Vs Possum|Fat Monk
Real Estate|It's Real
Red Hot Chili Peppers|The Adventures Of Raindance Maggie
Red Hot Chili Peppers|Ethiopia
Redcoats|Dreamshaker
Redcoats|Kay Trucker
Regurgitator|One Day
Rescue Ships, The|On The Air
Rise Against|Endgame
Rise Against|Help Is On The Way
Royal Headache|Surprise
Royston Vasie|Wreck Your Health
Royston Vasie|That's My Girl
Ru C.L|Good Life
Rubens, The|Lay It Down
Ruby Frost|Odyssey
Rufus|Paris Collides
Ruminaters, The|Deadstuff
Rusko|Everyday
Russ Chimes|Tonic
Russ Chimes|Helix
S.mouse|Slap My Elbow
San Cisco|Awkward
San Cisco|Golden Revolver
Santigold|Go {Ft. Karen O}
SBTRKT|Pharaohs {Ft. Roses Gabor}
SBTRKT|Ready Set Loop
SBTRKT|Wildfire {Ft. Little Dragon}
SBTRKT|Hold On {Ft. Sampha}
Scenic|Another Sky
SebastiAn|Embody
Seekae|Sir
Seeker Lover Keeper|Bring Me Back
Seeker Lover Keeper|Going To Sleep
Seeker Lover Keeper|If The Night Is Dark
Seeker Lover Keeper|Light All My Lights
Seeker Lover Keeper|On My Own
Seeker Lover Keeper|Rely On Me
Seeker Lover Keeper|Theme I
Seun Kuti|You Can Run
Seven|Good Thing {Ft. Mr Hill}
Shabazz Palaces|Swerve...The Reeping Of All That Is Worthwhile (Noir Not Withstanding)
Sharon Van Etten|Serpent
ShockOne|Crucify Me {Ft. Phetsta}
ShockOne|Relapse {Ft. Sam Nafie}
Sietta|No Longer Hurt
Sietta|What Am I Supposed To Do?
Simplex|I Have Nothing
Single Twin|Came Home Dead
Skipping Girl Vinegar|You Can
Skipping Girl Vinegar|Chase The Sun
Skrillex|First Of The Year (Equinox)
Skrillex|Scary Monsters And Nice Sprites
Slow Club|Two Cousins
Smith Westerns|End Of The Night
Smith Westerns|Fallen In Love
Smith Westerns|Imagine Pt. 3
Smith Westerns|Only One
Smith Westerns|Smile
Smith Westerns|Still New
Snakadaktal|Air
Snakadaktal|Chimera
Snakadaktal|Boy
Sonpsilo Circus|Silverspoon
Sons Of Rico|Miss Adventure
South Central|Demons
Spank Rock|Car Song {Ft. Santigold}
Spank Rock|Energy
Spank Rock|The Dance
Sparkadia|China
Sparkadia|Fingerprints
Sparkadia|Mary
Sparkadia|Shoot Straight
Sparkadia|The Great Impression
Sparkadia|The Lost Ones
